Start,Duration
20/01/2021 10:39,13
20/01/2021 11:42,9
20/01/2021 12:03,17
20/01/2021 14:11,8
20/01/2021 15:08,11
20/01/2021 15:37,5
20/01/2021 16:31,6
20/01/2021 17:09,15
20/01/2021 17:43,14
21/01/2021 09:02,9
21/01/2021 10:36,7
21/01/2021 14:05,13
21/01/2021 15:29,10
21/01/2021 16:09,11
21/01/2021 22:24,15
22/01/2021 09:57,19
22/01/2021 13:32,8
22/01/2021 15:47,12
23/01/2021 13:59,34
23/01/2021 18:57,9
23/01/2021 20:43,27
23/01/2021 21:36,9
24/01/2021 00:08,12
24/01/2021 11:38,37
24/01/2021 14:11,4
24/01/2021 18:18,1
25/01/2021 10:35,8
25/01/2021 13:57,11
25/01/2021 16:43,12
25/01/2021 18:41,11
26/01/2021 09:15,16
26/01/2021 14:08,8
26/01/2021 16:08,17
26/01/2021 19:55,8
26/01/2021 21:43,10
27/01/2021 12:35,14
27/01/2021 14:01,13
27/01/2021 15:46,13
27/01/2021 17:38,10
27/01/2021 23:20,8
28/01/2021 09:25,7
28/01/2021 11:03,13
28/01/2021 16:26,3
28/01/2021 16:42,4
29/01/2021 13:51,9
29/01/2021 15:33,7
29/01/2021 16:11,6
29/01/2021 17:41,5
29/01/2021 21:06,18
29/01/2021 22:48,7
30/01/2021 13:51,13
30/01/2021 15:22,30
30/01/2021 16:09,32
30/01/2021 18:32,3
31/01/2021 12:19,54
31/01/2021 14:47,121
31/01/2021 18:35,7
31/01/2021 20:35,6
01/02/2021 19:50,18
02/02/2021 09:34,7
02/02/2021 11:42,13
02/02/2021 12:04,6
02/02/2021 16:50,4
02/02/2021 19:38,13
02/02/2021 21:56,15
03/02/2021 10:32,5
03/02/2021 10:56,7
03/02/2021 11:23,6
03/02/2021 14:38,8
03/02/2021 18:20,4
04/02/2021 09:38,17
04/02/2021 16:20,10
04/02/2021 21:12,14
04/02/2021 22:19,12
05/02/2021 09:02,7
05/02/2021 12:50,11
05/02/2021 15:08,7
05/02/2021 16:12,63
05/02/2021 17:27,5
05/02/2021 17:44,8
05/02/2021 19:38,11
05/02/2021 20:06,12
05/02/2021 22:03,9
05/02/2021 23:02,20
06/02/2021 12:40,14
06/02/2021 13:03,6
06/02/2021 13:14,19
06/02/2021 15:22,10
06/02/2021 18:15,9
06/02/2021 22:14,5
07/02/2021 13:08,7
08/02/2021 09:38,12
08/02/2021 12:52,8
08/02/2021 14:55,4
08/02/2021 15:02,8
08/02/2021 17:13,10
08/02/2021 18:48,6
08/02/2021 20:44,76
09/02/2021 09:32,17
09/02/2021 12:02,8
09/02/2021 12:22,16
09/02/2021 18:03,6
09/02/2021 22:05,13
09/02/2021 23:10,5
10/02/2021 14:49,13
10/02/2021 15:14,14
10/02/2021 20:30,5
10/02/2021 21:48,5
11/02/2021 10:00,6
11/02/2021 16:05,8
11/02/2021 21:08,2
11/02/2021 21:40,9
12/02/2021 16:54,10
12/02/2021 19:45,36
13/02/2021 13:03,25
